town,start,target,route_timeout,route_completion,outside_lanes,collisions,lights_ran,stops_ran,duration,score,score_over_time
Town03,59,211,249,100.0,0.0,0,2,0,146.3,100.0,0.683526999316473
Town03,159,160,280,100.0,0.0,0,0,0,71.3,100.0,1.402524544179523
Town01,50,29,254,100.0,0.0,0,2,0,108.6,100.0,0.9208103130755065
Town01,23,56,425,100.0,0.0,0,2,0,211.15,100.0,0.4735969689793985
Town04,189,258,1532,100.0,0.0,0,5,0,428.3,100.0,0.23348120476301656
Town04,45,73,637,100.0,0.0,0,0,0,220.15,100.0,0.4542357483533954
Town02,44,2,197,100.0,0.0,0,3,0,104.9,100.0,0.9532888465204956
Town02,40,91,149,100.0,0.0,0,0,0,53.6,100.0,1.8656716417910448
Town05,271,29,290,100.0,0.0,0,1,0,180.95,100.0,0.552638850511191
Town05,243,124,218,100.0,0.0,0,2,0,81.75,100.0,1.2232415902140672
