town,start,target,route_timeout,route_completion,outside_lanes,collisions,lights_ran,stops_ran,duration,score,score_over_time
Town01,50,29,254,65.27,0.0,1,0,0,24.4,39.16003779004632,0.1541733771261666
Town01,23,56,425,20.5,0.0,1,0,0,14.45,12.298755703610611,0.02893824871437791
Town02,44,2,197,23.65,0.0,1,1,0,9.0,14.187533256128019,0.0720179353102945
Town02,40,91,149,26.7,0.0,1,0,0,8.05,16.019240008136418,0.10751167790695583
Town03,159,160,280,5.25,0.0,1,0,0,4.85,3.1528501975255643,0.011260179276877015
Town03,59,211,249,0.67,0.0,1,0,0,3.55,0.4038407682224088,0.0016218504747887903
Town04,45,73,637,54.93,0.0,1,0,0,48.25,32.95910340292022,0.05174113564037711
Town04,189,258,1532,16.46,0.0,1,0,0,36.0,10.698686677657232,0.006983476943640491
Town05,271,29,290,7.21,0.0,1,0,0,5.65,4.32493547800292,0.014913570613803172
Town05,243,124,218,2.67,0.0,1,0,0,3.9,1.6026903378115218,0.007351790540419825
